Operación;Tipos;int;flo;str;com;boo
POWER;int;2;X;X;X;X
POWER;flo;x;3;X;X;X
POWER;str;X;X;X;X;X
POWER;com;X;X;X;X;X
POWER;bool;X;X;X;X;X
MULTIPLY;int;2;X;X;X;X
MULTIPLY;flo;X;3;X;X;X
MULTIPLY;str;X;X;X;X;X
MULTIPLY;com;X;X;X;X;X
MULTIPLY;bool;X;X;X;X;X
DIVIDE;int;2;2;X;X;X
DIVIDE;flo;X;3;X;X;X
DIVIDE;str;X;X;X;X;X
DIVIDE;com;X;X;X;X;X
DIVIDE;bool;X;X;X;X;X
FLOOR_DIVIDE;int;2;X;X;X;X
FLOOR_DIVIDE;flo;X;3;X;X;X
FLOOR_DIVIDE;str;X;X;X;X;X
FLOOR_DIVIDE;com;X;X;X;X;X
FLOOR_DIVIDE;bool;X;X;X;X;X
TRUE_DIVIDE;int;2;X;X;X;X
TRUE_DIVIDE;flo;X;3;X;X;X
TRUE_DIVIDE;str;X;X;X;X;X
TRUE_DIVIDE;com;X;X;X;X;X
TRUE_DIVIDE;bool;X;X;X;X;X
MODULO;int;2;X;X;X;X
MODULO;flo;X;3;X;X;X
MODULO;str;X;X;X;X;X
MODULO;com;X;X;X;X;X
MODULO;bool;X;X;X;X;X
ADD;int;1;X;X;X;X
ADD;flo;X;1;X;X;X
ADD;str;X;X;2;X;X
ADD;com;X;X;X;X;X
ADD;bool;X;X;X;X;X
SUBTRACT;int;1;X;X;X;X
SUBTRACT;flo;X;1;X;X;X
SUBTRACT;str;X;X;X;X;X
SUBTRACT;com;X;X;X;X;X
SUBTRACT;bool;X;X;X;X;X
SUBSCR;int;1;X;X;X;X
SUBSCR;flo;X;1;X;X;X
SUBSCR;str;X;X;1;X;X
SUBSCR;com;X;X;X;1;
SUBSCR;bool;X;X;X;X;1
LSHIFT;int;X;X;X;X;X
LSHIFT;flo;X;X;X;X;X
LSHIFT;str;X;X;X;X;X
LSHIFT;com;X;X;X;X;X
LSHIFT;bool;X;X;X;X;X
RSHIFT;int;X;X;X;X;X
RSHIFT;flo;X;X;X;X;X
RSHIFT;str;X;X;X;X;X
RSHIFT;com;X;X;X;X;X
RSHIFT;bool;X;X;X;X;X
AND;int;X;X;X;X;X
AND;flo;X;X;X;X;X
AND;str;X;X;X;X;X
AND;com;X;X;X;X;X
AND;bool;X;X;X;X;1
XOR;int;X;X;X;X;X
XOR;flo;X;X;X;X;X
XOR;str;X;X;X;X;X
XOR;com;X;X;X;X;X
XOR;bool;X;X;X;X;1
OR  ;int;X;X;X;X;X
OR  ;flo;X;X;X;X;X
OR  ;str;X;X;X;X;X
OR  ;com;X;X;X;X;X
OR  ;bool;X;X;X;X;1
